类型,文件,点数,方差,>sigma,占比,面积,周长
Dong,x_19_boundary_0,32,0.150399721869571,10,0.3125,6123.699045872432,150.607548561577
Dong,x_19_boundary_1,28,0.3981781370225205,8,0.2857142857142857,92.78185056755319,115.27697530910318
Dong,x_19_boundary_2,85,0.05958484430124757,24,0.2823529411764706,14345.039247769746,457.0020981821044
Dong,x_19_boundary_3,48,0.15003902509486236,19,0.3958333333333333,6485.7715319683775,255.96868152879333
Dong,x_2_boundary_0,48,0.2382342264784482,13,0.2708333333333333,6204.46080125554,352.0927446541196
Dong,x_2_boundary_1,44,0.1603367135168554,13,0.29545454545454547,8882.72995710373,339.9844567282155
Dong,x_23_boundary_0,54,0.12215604782722164,21,0.3888888888888889,19663.242033174494,475.41436537023566
Dong,x_23_boundary_1,160,0.406707657242284,45,0.28125,88788.43628285872,1501.4115364486977
Dong,x_23_boundary_2,57,0.1701812022059779,21,0.3684210526315789,21152.424679433345,538.9416408181593
Dong,x_23_boundary_3,44,0.19750380376772958,16,0.36363636363636365,16899.216790092643,390.46838335518464
Huan,x_24_boundary_0,111,0.15919898515002487,41,0.36936936936936937,15483.89664572943,493.53333159019763
Huan,x_24_boundary_1,90,0.09614218908177773,25,0.2777777777777778,4605.097029062861,415.4538308017001
Huan,x_4_boundary_0,53,0.1040885371005039,17,0.32075471698113206,18008.986166140996,845.7717707696862
Huan,x_4_boundary_1,45,0.27597010626934615,17,0.37777777777777777,29852.723494160688,664.1916066669653
Xiu,x_0_boundary_0,78,0.092408830676428,27,0.34615384615384615,8286.084675803198,362.3204038000038
Xiu,x_14_boundary_0,102,0.18654482265655153,32,0.3137254901960784,10169.802733546647,717.8939741331739
Xiu,x_21_boundary_0,94,0.34953254085771784,34,0.3617021276595745,18871.072704150283,444.85519782520396
Xiu,x_27_boundary_0,114,0.32961724076562515,40,0.3508771929824561,17100.82653176022,462.79775157593605
Xiu,x_28_boundary_0,183,0.5404643083689971,67,0.366120218579235,43889.305065589375,1227.0286469771704
Xiu,x_3_boundary_0,82,0.2808432357546409,28,0.34146341463414637,2306.1657625422813,373.3459895602532
Xiu,x_31_boundary_0,121,0.4613517104625127,38,0.3140495867768595,8215.29687950993,713.5304680774963
Xiu,x_32_boundary_0,111,0.17431089082965304,39,0.35135135135135137,22240.096374718123,587.0674504105388
Xiu,x_35_boundary_0,98,0.2412339144683773,34,0.3469387755102041,8164.653179252287,363.50904722245906
Xiu,x_38_boundary_0,93,0.13776144975235055,30,0.3225806451612903,2372.395982326998,282.03201129782485
Dong,y_0_boundary_0,95,0.5610922999820105,37,0.3894736842105263,68685.86545178354,1567.1283010387594
Dong,y_0_boundary_1,16,0.24381069470985745,6,0.375,6052.305226960583,270.4128461100594
Dong,y_1_boundary_0,189,0.5629737039268455,76,0.4021164021164021,277891.30805354135,3439.847051347537
Dong,y_1_boundary_1,99,0.49314066944292917,33,0.3333333333333333,101114.71201455557,2022.1030711626258
Dong,y_1_boundary_2,43,0.17521088369796986,10,0.23255813953488372,36161.125525945856,766.7511478039108
Dong,y_10_boundary_0,136,0.24866619306646442,52,0.38235294117647056,76382.18465434131,1141.129070784399
Dong,y_10_boundary_1,153,0.1843072183065854,56,0.3660130718954248,72113.12416215605,1260.1409436276008
Dong,y_12_boundary_0,62,0.2965857375878095,21,0.3387096774193548,1907.283363368042,251.87681015860346
Dong,y_12_boundary_1,27,0.2859404204547026,11,0.4074074074074074,1978.0956306887965,99.95850847105349
Dong,y_13_boundary_0,224,0.3709172626993922,57,0.2544642857142857,82810.6334644525,1444.893171299206
Dong,y_13_boundary_1,250,0.4074301011063389,95,0.38,87631.08266311967,1708.5790434319051
Dong,y_2_boundary_0,135,0.16779591649252343,38,0.2814814814814815,33718.10195391197,762.3833472879592
Dong,y_2_boundary_1,142,0.37509058380614546,38,0.2676056338028169,21372.43864389528,799.2325530372109
Huan,y_3_boundary_0,111,0.05942808212318387,47,0.42342342342342343,20203.44184751482,538.735977591755
Huan,y_3_boundary_1,114,0.06700947207654798,33,0.2894736842105263,23863.4838480409,538.936444943282
Dong,y_36_boundary_0,86,0.2612314737642201,29,0.3372093023255814,10808.793851695344,434.85782088185886
Dong,y_36_boundary_1,71,0.42491319060138205,22,0.30985915492957744,7880.3240619402495,360.557622732318
Dong,y_36_boundary_2,25,0.3458926760626685,8,0.32,373.3618236275797,117.13608910828977
Huan,y_4_boundary_0,107,0.21768053929171974,49,0.45794392523364486,12507.919972167263,410.53707285533017
Huan,y_4_boundary_1,162,0.10595554075797636,58,0.35802469135802467,26978.495116312595,660.1402691035669
Huan,y_44_boundary_0,109,0.19673854611571023,33,0.30275229357798167,12117.009087784303,419.31405010570995
Huan,y_44_boundary_1,81,0.11703546053074872,34,0.41975308641975306,6180.74560627977,310.0770778945992
Huan,y_46_boundary_0,72,0.1146691407881279,21,0.2916666666666667,6072.1130204886285,430.53358032079564
Huan,y_46_boundary_1,145,0.2649845556585963,45,0.3103448275862069,25626.61569648092,769.6147050471307
Huan,y_5_boundary_0,113,0.1620482198476159,42,0.37168141592920356,22528.88424026442,584.0479873669182
Huan,y_5_boundary_1,91,0.1438447256182862,36,0.3956043956043956,18160.713957861037,499.49876990896206
Huan,y_9_boundary_0,238,0.601535741200298,94,0.3949579831932773,29412.13870689193,1092.203643806309
Huan,y_9_boundary_1,76,0.062369484682519995,25,0.32894736842105265,11847.146490165405,367.04686713600034
Xiu,y_48_boundary_0,224,0.22207151196025263,80,0.35714285714285715,63110.204582751234,1155.4647831238328
Xiu,y_52_boundary_0,121,0.48216581028608313,42,0.34710743801652894,5239.017968563858,555.9433489056905
Huan,z_0_boundary_0,54,0.05801941133372982,17,0.3148148148148148,975.0804558598902,211.03048984135992
Huan,z_0_boundary_1,56,0.11005500236268043,18,0.32142857142857145,526.6670016164426,221.9257769101162
Huan,z_2_boundary_0,96,0.11859627497112026,35,0.3645833333333333,6797.435435567284,433.27855477230634
Huan,z_2_boundary_1,79,0.11070505440935666,27,0.34177215189873417,865.8993915729225,380.6722276980287
Huan,z_27_boundary_0,148,0.08478035607451626,50,0.33783783783783783,28696.06132034224,666.8150996760925
Huan,z_27_boundary_1,134,0.13246530762077846,63,0.4701492537313433,16522.556090037106,606.6215485737896
Huan,z_8_boundary_0,49,0.17127698328010824,20,0.40816326530612246,8592.507386814279,437.1182169708331
Huan,z_8_boundary_1,27,0.1404088072130823,9,0.3333333333333333,12942.505391992761,261.62767312353975
Wo,z_1_boundary_0,99,0.2723655484846368,24,0.24242424242424243,10369.982479066006,526.8850939837869
Wo,z_19_boundary_0,92,0.10281413770579695,37,0.40217391304347827,12905.79989074613,319.7830088548881
Wo,z_29_boundary_0,142,0.45536424631770467,56,0.39436619718309857,14418.524737708736,630.03552834626
Wo,z_31_boundary_0,72,0.13001942794258103,26,0.3611111111111111,4595.0149129519705,300.8189283395032
Wo,z_32_boundary_0,108,0.08312289395687918,34,0.3148148148148148,26795.383957621845,626.8855616283346
Wo,z_6_boundary_0,192,0.2576086591179405,78,0.40625,97414.92404336654,1370.0832144254794
Wo,z_7_boundary_0,184,0.3249586553140859,58,0.31521739130434784,17256.76746298943,804.1174505824823
